@relation 'MusicMoods-weka.filters.unsupervised.attribute.Remove-R14-15,17-18-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Reorder-Rlast-first'

@attribute track_mode_confidence numeric
@attribute track_key_confidence numeric
@attribute track_time_signature_confidence numeric
@attribute track_time_signature numeric
@attribute track_tempo_confidence numeric
@attribute track_end_of_fade_in numeric
@attribute duration_ms numeric
@attribute tempo numeric
@attribute valence numeric
@attribute liveness numeric
@attribute instrumentalness numeric
@attribute acousticness numeric
@attribute speechiness numeric
@attribute mode numeric
@attribute loudness numeric
@attribute key numeric
@attribute energy numeric
@attribute danceability numeric
@attribute mood {0,1}

@data
0.736,0.752,0.81,4,1,2.67029,139733,156.493,0.905,0.762,0.0923,0.202,0.0357,1,-7.316,2,0.871,0.551,1
0.65,0.533,1,4,0.551,0,203770,106.995,0.351,0.218,0.0456,0.738,0.0472,0,-10.569,5,0.556,0.66,0
0.681,0.792,0.986,3,0.203,0.07932,218080,180.977,0.567,0.0985,0,0.0935,0.0421,1,-5.292,4,0.823,0.342,0
0.765,0.899,0.424,4,0.066,0.20299,228200,84.828,0.33,0.126,0.000028,0.93,0.0346,1,-12.13,5,0.173,0.375,0
0.795,0.89,1,3,0.128,2.5542,400173,117.587,0.105,0.0823,0.0282,0.858,0.0325,1,-12.067,0,0.179,0.567,0
0.686,0.603,1,4,0.164,0.34268,325307,93.281,0.693,0.0635,0.00937,0.286,0.0577,1,-12.838,1,0.675,0.726,1
0.616,0.567,1,4,0.669,0.19732,208187,119.977,0.411,0.243,0,0.0213,0.049,1,-6.135,6,0.626,0.686,1
0.432,0.402,0.991,4,0.502,0.18435,119933,119.619,0.852,0.478,0.656,0.162,0.0311,1,-9.648,5,0.65,0.571,0
0.467,0.291,1,4,0.111,0.5054,171693,99.974,0.359,0.202,0,0.0871,0.0736,0,-5.876,7,0.78,0.593,1
0.524,0.261,0.767,4,0.982,0,270393,131.001,0.953,0.284,0.117,0.0054,0.0364,1,-6.776,10,0.887,0.608,1
0.543,0.551,0.972,4,0.406,0.3537,160227,100.845,0.497,0.281,0.0929,0.968,0.0295,0,-9.654,9,0.315,0.586,0
0.388,0.282,0.996,4,0.591,0.49991,224867,125.49,0.45,0.0414,0.00549,0.000088,0.0367,0,-5.522,2,0.807,0.478,1
0.627,0.698,1,3,0.324,0.21492,218320,177.6,0.163,0.104,0.0858,0.73,0.033,1,-10.251,6,0.215,0.387,0
0.428,0.33,1,4,0.309,5.42766,307800,82.112,0.468,0.105,0.013,0.0225,0.0233,1,-12.008,5,0.405,0.554,0
0.438,0.454,0.97,4,0.922,0.17791,329467,127.981,0.804,0.14,0.0314,0.000265,0.0424,0,-6.155,9,0.849,0.64,1
0.321,0.776,1,4,0.454,2.22331,239257,118.635,0.322,0.0676,0.000006,0.712,0.0375,1,-17.11,0,0.11,0.732,0
0.776,0.759,0.98,4,0.234,0.17025,277400,139.076,0.137,0.0907,0.000454,0.125,0.0333,1,-7.205,3,0.47,0.206,0
0.423,0.29,0.92,4,0.05,0,305107,174.943,0.0373,0.0763,0.706,0.81,0.0341,0,-13.737,9,0.231,0.177,0
0.482,0.614,0.408,4,0.164,0,298120,87.582,0.0747,0.281,0.926,0.691,0.651,0,-13.936,4,0.629,0.246,0
0.51,0.474,0.993,4,0.764,0.2361,337693,139.989,0.511,0.143,0.864,0.00814,0.0406,0,-8.247,10,0.597,0.666,1
0.413,0.31,0.959,4,0.723,0.48259,185667,127.955,0.318,0.0854,0.809,0.338,0.0329,0,-9.384,9,0.788,0.387,0
0.908,0.902,1,4,0.184,0.15664,330720,156.054,0.214,0.109,0.222,0.429,0.0331,1,-14.353,5,0.447,0.636,0
0.533,0.415,0.591,4,0.637,0.08141,192294,128.034,0.47,0.352,0.00941,0.000313,0.0589,0,-6.02,7,0.862,0.498,1
0.609,0.682,1,4,0.727,0.17723,221920,84.457,0.436,0.355,0.000752,0.0525,0.056,0,-10.169,7,0.553,0.668,0
0.724,0.759,0.207,4,0.329,0.31302,238773,136.065,0.228,0.0864,0,0.693,0.0408,1,-9.88,3,0.272,0.443,0
0.547,0.572,0.89,4,0.263,0.25524,304813,84.054,0.534,0.553,0,0.178,0.179,0,-7.614,0,0.751,0.637,1
0.489,0.544,0.365,3,0.179,0.26136,158440,93.932,0.477,0.0832,0,0.505,0.0412,1,-10.677,4,0.351,0.425,1
0.484,0.366,0.807,5,0.074,0.12204,207427,68.103,0.141,0.107,0.0867,0.525,0.0352,0,-14.962,1,0.189,0.163,0
0.686,0.831,0.932,4,0.55,0,214933,125.971,0.474,0.161,0.0773,0.299,0.0567,0,-4.724,5,0.598,0.729,1
0.504,0.391,1,4,0.546,0.50512,241960,119.785,0.548,0.155,0.000128,0.22,0.038,1,-10.119,7,0.769,0.604,1
0.5,0.361,0.99,4,0.242,0,399733,128.051,0.258,0.12,0.0083,0.894,0.0434,0,-18.091,4,0.163,0.598,0
0.428,0.291,0.815,4,0.15,0.13914,314400,79.948,0.328,0.316,0.0314,0.0164,0.0297,1,-7.741,6,0.704,0.427,0
0.474,0.367,1,4,0.854,0,181072,130.028,0.487,0.11,0.000006,0.011,0.0395,0,-7.895,11,0.665,0.755,1
0.316,0.101,1,4,0.686,0.16454,221052,130.927,0.612,0.0889,0.000001,0.158,0.0711,1,-5.375,8,0.646,0.764,1
0.537,0.543,1,4,0.396,0.26118,149253,118.516,0.633,0.122,0,0.41,0.0335,0,-7.817,9,0.407,0.61,1
0.676,0.835,1,4,0.147,0.16254,200933,184.331,0.923,0.139,0.000458,0.117,0.0335,1,-10.057,2,0.78,0.346,1
0.498,0.429,1,4,0.101,0.34562,259840,121.325,0.166,0.0796,0.00139,0.147,0.0298,1,-6.178,0,0.51,0.392,0
0.429,0.487,0.996,4,0.773,0.19732,210093,129.984,0.502,0.246,0.000003,0.0015,0.26,1,-6.103,8,0.87,0.544,1
0.506,0.421,0.878,4,0.096,0.12204,216173,101.801,0.311,0.352,0.0188,0.00093,0.213,1,-6.169,0,0.974,0.335,1
0.688,0.787,0.955,4,0.096,4.64399,324493,74.76,0.1,0.101,0,0.793,0.0276,1,-11.656,3,0.229,0.474,0
0.853,0.878,0.683,4,0.972,0.15093,182082,133.965,0.787,0.32,0,0.0199,0.0261,1,-3.732,7,0.885,0.664,1
0.77,0.856,1,4,0.879,0,293627,111.001,0.342,0.0708,0.343,0.0361,0.0345,0,-9.663,10,0.8,0.649,1
0.507,0.441,0.916,4,0.21,0.31265,332000,139.844,0.205,0.102,0,0.357,0.0473,0,-9.884,4,0.386,0.496,0
0.533,0.444,0.084,3,0.096,0.21497,304333,137.988,0.113,0.105,0.000068,0.753,0.0241,0,-8.851,4,0.382,0.545,0
0.552,0.366,0.937,4,0.132,2.89669,340373,97.331,0.0876,0.0902,0.00044,0.948,0.0305,1,-15.494,4,0.136,0.267,0
0.552,0.651,1,4,0.927,0.57537,207546,108.013,0.961,0.238,0,0.0386,0.033,0,-4.481,4,0.894,0.674,1
0.35,0.684,0.979,4,0.433,0.13927,151467,103.988,0.379,0.687,0.0424,0.00044,0.117,1,-4.399,4,0.951,0.293,1
0.474,0.34,1,4,0.203,0.41751,137307,155.961,0.965,0.162,0.000144,0.774,0.0854,0,-10.37,2,0.53,0.618,1
0.472,0.261,1,4,0.522,0,231464,93.219,0.672,0.235,0,0.0312,0.138,1,-2.762,11,0.932,0.564,1
0.668,0.931,1,4,0.958,0,236520,134.985,0.726,0.094,0,0.00913,0.035,1,-4.349,6,0.898,0.683,1
0.63,0.49,1,4,0.808,0.08104,232093,120.43,0.922,0.362,0,0.321,0.0375,1,-8.042,2,0.755,0.643,1
0.58,0.564,1,3,0.567,0,165920,144.311,0.364,0.132,0.000011,0.828,0.0392,1,-16.153,0,0.107,0.538,0
0.345,0.327,1,4,0.935,0,236240,90.231,0.804,0.153,0.327,0.437,0.301,1,-7.576,1,0.654,0.851,1
0.611,0.49,0.78,4,0.077,0.23669,317240,169.477,0.283,0.124,0,0.301,0.0358,1,-12.621,2,0.288,0.338,0
0.648,0.648,0.95,4,0.078,0.38907,453760,90.099,0.289,0.0858,0.0139,0.371,0.0244,0,-11.468,2,0.395,0.659,1
0.455,0.66,0.471,4,0.248,0.35773,246960,143.928,0.359,0.164,0,0.249,0.0279,1,-8.244,9,0.415,0.486,0
0.693,0.713,1,4,0.789,0.32821,75320,97.041,0.813,0.106,0.973,0.0158,0.0285,0,-9.74,6,0.617,0.447,1
0.561,0.492,0.87,4,0.603,7.08789,251867,125.109,0.506,0.0598,0.00122,0.637,0.0337,0,-18.521,3,0.301,0.666,0
0.336,0.454,1,4,0.94,0.20313,252493,137.987,0.6,0.16,0.000128,0.00786,0.0274,1,-2.247,6,0.955,0.638,1
0.569,0.633,1,4,0.274,0,183533,191.41,0.376,0.845,0,0.0707,0.174,1,-4.191,2,0.974,0.248,1
0.497,0.494,0.999,4,0.626,0.22531,462373,122.982,0.247,0.147,0.465,0.00855,0.0444,0,-9.239,6,0.568,0.756,1
0.42,0.344,0.985,4,0.92,0.1161,250733,97.747,0.599,0.0826,0.000055,0.134,0.181,1,-11.896,1,0.702,0.841,1
0.19,0.429,0.98,5,0.056,0,263907,121.3,0.264,0.316,0,0.0133,0.236,1,-4.682,1,0.72,0.598,1
0.638,0.47,1,4,0.443,0,233960,99.04,0.788,0.128,0,0.0787,0.38,1,-4.125,1,0.708,0.798,1
0.168,0.006,1,4,0.835,0,189973,152.035,0.81,0.664,0,0.00802,0.0848,1,-5.689,2,0.708,0.813,1
0.386,0.4,1,4,0.699,2.24653,359960,121.009,0.693,0.151,0.0012,0.179,0.0715,0,-6.909,10,0.898,0.818,1
0.43,0.49,1,4,0.955,0.14499,220360,125.439,0.776,0.0983,0.161,0.00262,0.0324,1,-3.605,9,0.886,0.607,1
0.718,0.724,0.988,4,0.499,0,242693,131.358,0.348,0.112,0.104,0.000691,0.036,1,-4.89,2,0.899,0.484,1
0.505,0.494,1,4,0.21,2.69932,331467,127.907,0.308,0.77,0.000136,0.593,0.0331,0,-7.608,9,0.629,0.57,0
0.707,1,0.541,4,0.782,1.07392,285962,115.009,0.11,0.0826,0.979,0.557,0.0317,1,-18.469,3,0.245,0.572,1
0.277,0.059,1,4,0.276,0,293373,91.497,0.628,0.5,0,0.0737,0.389,0,-3.338,10,0.799,0.827,1
0.539,0.535,0.996,4,0.619,0.19746,241200,143.435,0.691,0.0943,0.00308,0.553,0.0482,0,-6.324,4,0.702,0.585,1
0.813,1,0.823,4,0.672,0.32109,249107,122.259,0.179,0.0946,0,0.773,0.0279,1,-7.506,3,0.393,0.585,0
0.514,0.461,1,4,1,0.53973,214507,92.026,0.882,0.228,0.000005,0.0421,0.047,1,-7.443,6,0.646,0.713,0
0.672,0.706,0.488,4,0.25,0.09859,314933,80.164,0.176,0.425,0.093,0.46,0.0343,1,-14.391,5,0.339,0.276,0
0.297,0.505,1,4,1,0,119613,129.997,0.777,0.0869,0.000005,0.0932,0.11,1,-6.786,9,0.827,0.855,1
0.66,0.687,1,4,0.427,0.3341,189853,93.214,0.242,0.113,0.0485,0.8,0.0344,1,-16.583,9,0.144,0.425,0
0.539,0.534,1,4,0.873,0,267080,122.65,0.551,0.0514,0.000034,0.0446,0.0715,0,-5.533,6,0.676,0.853,1
0.392,0.151,0.379,3,0.369,0.24535,174640,97.827,0.366,0.112,0.191,0.157,0.0295,1,-6.554,0,0.545,0.631,0
0.563,0.692,0.996,4,1,0.1278,223867,126.977,0.68,0.0718,0.887,0.00603,0.0404,0,-2.877,10,0.912,0.691,1
0.559,0.694,0.871,4,0.868,3.55846,151520,140.787,0.339,0.135,0.893,0.00648,0.169,1,-5.766,0,0.963,0.544,1
0.36,0.244,1,4,0.913,0.12771,231480,117.007,0.879,0.0539,0.000004,0.00423,0.0412,1,-3.9,1,0.673,0.838,1
0.606,0.641,1,4,0.819,0,136907,159.831,0.314,0.0931,0.567,0.0069,0.132,1,-4.885,1,0.99,0.356,1
0.42,0.534,1,4,0.925,0.24567,202933,96.998,0.425,0.109,0.000081,0.0111,0.126,1,-6.329,1,0.845,0.703,1
0.586,0.639,1,4,0.796,0.11542,337813,125.613,0.904,0.0369,0.163,0.00407,0.0315,1,-6.927,8,0.925,0.638,0
0.757,0.599,1,4,0.95,0,308560,156.022,0.586,0.108,0.00008,0.111,0.0814,0,-8.648,6,0.593,0.761,0
0.545,0.383,0.847,3,0.215,0.19723,342093,137.776,0.0826,0.243,0.0139,0.571,0.03,0,-6.922,2,0.473,0.26,0
0.424,0.523,1,4,0.799,0.39397,211547,130.049,0.91,0.302,0.0046,0.000794,0.0372,0,-5.877,7,0.856,0.676,1
0.542,0.521,1,4,0.448,0,348416,130.008,0.947,0.0511,0.146,0.123,0.0553,1,-5.716,0,0.952,0.798,1
0.243,0.246,1,4,0.08,0.06358,250467,100.36,0.436,0.203,0.000186,0.0141,0.221,0,-8.598,4,0.454,0.889,1
