"_id","id","artist","title","mood","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","track_duration","track_end_of_fade_in","track_start_of_fade_out","track_loudness","track_tempo","track_tempo_confidence","track_time_signature","track_time_signature_confidence","track_key","track_key_confidence","track_mode","track_mode_confidence"
5a7879366c7da81a2b374d34,47NEbBOVhh4186ZDSESX8W,Catie Curtis,Doctor,0,0.583,0.158,2,-16.365,0,0.0317,0.822,0.000058,0.116,0.31,97.578,181880,4,181.88,0.34871,170.34159,-16.365,97.578,0.658,4,0.932,2,0.691,0,0.623
5a7879366c7da81a2b374d35,0q3LHv8FpYg1bKXuvDfZL6,The Beatles,The Fool On The Hill - Anthology 2 Version / Take 4,0,0.464,0.667,2,-7.637,0,0.0304,0.747,0,0.438,0.804,143.08,224760,4,224.76,0.34127,214.88327,-7.637,143.08,0.194,4,1,2,0.529,0,0.508
5a7879376c7da81a2b374d36,1SyZ2QY1DeUboE0wOi6YwO,Jerry Bock,"Sunrise, Sunset",0,0.337,0.0857,5,-20.431,0,0.0358,0.934,0.0000757,0.107,0.408,113.325,205133,3,205.13333,0.09184,197.77596,-20.431,113.325,0.013,3,0.975,5,0.556,0,0.571
5a7879386c7da81a2b374d37,2pRcZqYS7J7l9UiGFfomVi,Агата Кристи,Сытая свинья,0,0.6,0.602,9,-13.339,0,0.0393,0.383,0,0.103,0.835,91.264,264093,4,264.09333,2.36844,248.07039,-13.339,91.264,0.134,4,0.951,9,0.672,0,0.544
5a7879386c7da81a2b374d38,4HqSgSQpZKKtlwElMdq9jr,Chris Isaak,I'm Not Waiting,0,0.428,0.613,2,-12.975,1,0.0359,0.471,0.261,0.0671,0.466,198.094,196173,4,196.17333,0.18649,184.082,-12.975,198.094,0.107,4,0.988,2,0.855,1,0.647
5a7879396c7da81a2b374d39,53zA6MWO07wDZbHwJSor2C,Antonio Pinto,Despedida,0,0.759,0.213,6,-12.893,0,0.0441,0.854,0.0000605,0.0747,0.319,132.014,171960,3,171.96,0,163.13179,-12.893,132.014,0.74,3,1,6,0.646,0,0.73
5a78793a6c7da81a2b374d3a,1D1NsFNa4jA347uW2Iimtn,Chris Botti,Nessun Dorma,0,0.154,0.181,3,-15.01,1,0.0422,0.941,0.947,0.0993,0.0399,137.331,230400,3,230.4,3.62812,203.83637,-15.01,137.331,0.04,3,0.129,3,0.713,1,0.701
5a78793a6c7da81a2b374d3b,4LH8yGMqfESvncAPVPohkS,Pan-American,Lights of Little Towns,0,0.255,0.198,9,-19.035,0,0.0429,0.906,0.856,0.178,0.0375,82.067,535347,3,535.34667,3.08245,535.34668,-19.035,82.067,0.014,3,0.022,9,0.371,0,0.518
5a78793b6c7da81a2b374d3c,0YrmHbyxIS1brYkR84zGnX,Unkle Bob,Put A Record On,0,0.566,0.771,2,-5.505,1,0.0278,0.0387,0.000229,0.113,0.574,118.654,223213,4,223.21333,0,214.61624,-5.505,118.654,0.869,4,1,2,0.607,1,0.642
5a78793b6c7da81a2b374d3d,7Mx00Ye1ypcK1hToeKyrVl,Henryk Górecki,Symphony No. 3: I. Lento - Sostenuto Tranquillo Ma Cantabile,0,0.11,0.124,4,-19.495,0,0.0374,0.554,0.773,0.197,0.0331,93.035,1607333,4,1607.33333,120.52317,1421.74621,-19.495,93.035,0.184,4,0.509,4,0,0,0.283
