@relation 'MusicMoods-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R2,4-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R7'

@attribute track_mode_confidence numeric
@attribute track_key_confidence numeric
@attribute track_time_signature_confidence numeric
@attribute track_time_signature numeric
@attribute track_tempo_confidence numeric
@attribute track_end_of_fade_in numeric
@attribute duration_ms numeric
@attribute tempo numeric
@attribute valence numeric
@attribute liveness numeric
@attribute instrumentalness numeric
@attribute acousticness numeric
@attribute speechiness numeric
@attribute mode numeric
@attribute loudness numeric
@attribute key numeric
@attribute energy numeric
@attribute danceability numeric
@attribute mood {0,1}

@data
0.234,0.091,1,4,0.947,0,195760,134.008,0.356,0.349,0.622,0.00381,0.144,1,-6.497,9,0.842,0.693,1
0.29,0.253,0.953,4,0.156,0,185773,79.966,0.484,0.367,0.000135,0.0733,0.244,1,-9.994,8,0.643,0.746,1
0.668,0.732,0.871,3,0.163,0.15043,152120,199.866,0.272,0.121,0.467,0.981,0.0311,0,-11.776,7,0.337,0.224,0
0.901,1,0.438,4,0.06,0.56308,330240,135.03,0.0366,0.21,0.000021,0.0636,0.0503,1,-6.859,2,0.695,0.759,1
0.604,0.69,1,4,0.886,0.42957,295013,110.18,0.625,0.0495,0,0.19,0.0968,1,-7.074,1,0.802,0.809,1
0.455,0.366,0.996,4,0.698,2.65288,233600,128.056,0.434,0.322,0.00181,0.00684,0.0846,1,-4.214,6,0.821,0.642,1
0.705,0.531,0.416,4,0.052,0.07583,271427,72.48,0.116,0.102,0.000546,0.752,0.0338,1,-10.157,4,0.254,0.277,0
0.711,0.765,0.951,4,0.7,0.38912,204907,115.966,0.721,0.147,0.000276,0.000102,0.0321,0,-12.412,11,0.521,0.425,0
0.442,0.492,1,4,0.042,2.24653,111960,98.913,0.789,0.651,0.000083,0.0105,0.102,1,-5.592,1,0.858,0.538,1
0.416,0.359,0.915,4,0.464,0.21497,246596,169.692,0.53,0.324,0.000452,0.000653,0.055,0,-5.926,5,0.801,0.26,0
0.198,0.045,1,4,0.739,0.72045,196067,126.964,0.828,0.274,0.000026,0.0147,0.0815,0,-6.785,5,0.828,0.639,1
0.569,0.652,1,4,0.58,0.18005,255667,100.285,0.525,0.351,0.135,0.414,0.0253,0,-13.001,7,0.453,0.642,0
0.453,0.557,1,4,0.906,0.15583,202640,122.274,0.89,0.138,0.000028,0.00377,0.0428,1,-5.093,0,0.971,0.697,1
0.329,0.101,0.972,4,0.325,3.00118,209173,87.97,0.0677,0.144,0.000006,0.984,0.0427,1,-14.807,3,0.0642,0.743,0
0.761,0.705,0.493,4,0.672,3.55846,299207,83.837,0.211,0.11,0,0.56,0.12,1,-9.305,7,0.477,0.497,0
0.645,0.767,1,4,0.779,0.27283,478786,123.007,0.339,0.0978,0.303,0.000261,0.0384,0,-8.095,10,0.733,0.734,0
0.649,0.761,0.637,4,0.436,0.30231,207613,159.89,0.532,0.294,0,0.00567,0.0431,1,-5.815,0,0.789,0.41,0
0.604,0.602,1,4,0.08,0,191516,71.669,0.4,0.191,0.000024,0.0226,0.0267,0,-6.468,6,0.45,0.586,0
0.604,0.491,0.312,4,0.042,0.37719,408867,171.656,0.96,0.107,0.0165,0.323,0.0315,1,-7.586,6,0.0494,0.253,0
0.411,0.759,0.907,4,0.454,0.34277,368733,94.953,0.327,0.154,0.824,0.000152,0.0295,1,-14.723,0,0.407,0.421,1
0.324,0.399,1,4,0.13,0.15002,237813,99.942,0.844,0.131,0.047,0.376,0.0385,1,-4.342,5,0.894,0.66,1
0.529,0.447,1,4,0.405,0,215467,89.936,0.963,0.0738,0,0.0355,0.175,0,-3.837,10,0.698,0.891,1
0.53,0.701,0.932,4,0.789,0,193093,141.998,0.857,0.0841,0.000007,0.587,0.0325,1,-9.659,0,0.457,0.744,1
0.261,0,0.996,4,0.866,0.16286,262773,125.991,0.154,0.101,0,0.118,0.0561,0,-6.355,5,0.825,0.734,1
0.545,0.504,0.744,4,0.089,0,304053,100.781,0.0549,0.145,0.0183,0.757,0.0338,1,-10.131,9,0.227,0.225,0
0.291,0,1,4,0.29,1.05669,192720,88.025,0.343,0.112,0.000003,0.00486,0.0274,1,-6.621,8,0.637,0.586,0
0.576,0.356,1,4,0.289,0.37143,221280,90.958,0.541,0.05,0.000005,0.00313,0.033,0,-2.521,6,0.877,0.542,0
0.644,0.708,0.964,4,0.068,0.37565,241307,128.732,0.329,0.096,0,0.795,0.0428,1,-11.291,3,0.217,0.56,0
0.26,0.092,1,4,0.319,0.23787,173516,97.101,0.663,0.095,0,0.0635,0.332,1,-5.21,9,0.823,0.594,1
0.293,0,0.898,4,0.193,0.50553,118114,104.975,0.217,0.114,0.939,0.944,0.0298,0,-10.922,4,0.377,0.288,0
0.568,0.743,0.988,4,1,0.33723,203987,131.968,0.933,0.107,0,0.0351,0.185,1,-3.052,1,0.961,0.72,1
0.538,0.404,1,4,0.81,0.25578,219987,125.083,0.794,0.348,0,0.00166,0.0543,1,-2.628,7,0.893,0.551,1
0.648,0.625,0.791,4,0.315,0,274293,66.778,0.467,0.0706,0.336,0.367,0.0244,1,-14.318,5,0.408,0.467,0
0,0.231,1,4,0.137,0.19551,354813,128.037,0.733,0.0447,0.153,0.00222,0.138,0,-6.856,11,0.837,0.55,1
0.595,0.489,0.85,4,0.159,0.20299,233200,147.932,0.594,0.115,0.000016,0.664,0.0428,1,-8.254,2,0.414,0.673,0
0.656,0.859,1,4,0.289,0.2371,166213,104.5,0.763,0.313,0.000083,0.133,0.0303,0,-12.434,5,0.545,0.645,0
